Field Name	en	ru	ru_FilippovaN
####################			
# Fields			
####################			
TaxonName	Taxon Name	Название таксона	Название таксона
Geography	Geography	География	География
Determiner	Determiner	Определил	Определил
Collectors	Collectors	Коллекторы	Коллекторы
OldTaxonName	Old Name	Раннее название	Раннее название
AcceptedTaxonName	Preferred Name	Принятое название	Принятое название
DeterminationName	Determination Name	Название в момент определения	Название в момент идентификации
OldTaxonOnDeter	Name on Determination	Раннее название в момент определения	Раннее название в момент идентификации
OtherOldTaxonName	Other Name	Другие названия	Другие названия
GeoCategory	Category	Категория географии	Категория географии
StorageName	Storage	Место хранения	Место хранения
Name	Name	Название	Название
			
####################			
# Fields  Description			
####################			
TaxonName_desc	The taxon Name	Название таксона	Название таксона
Geography_desc	The geography name	Название географии	Название географии
Determiner_desc	The person who determined it	Определил	Определил
Collectors_desc	The list of collectors	Коллекторы	Список коллекторов
OldTaxonName_desc	The old taxon name	Раннее название таксона	Раннее название таксона
AcceptedTaxonName_desc	The preferred taxon name	Принятое название таксона	Принятое название таксона
DeterminationName_desc	The determination name	Название на момент определения	Название на момент идентификации
OldTaxonOnDeter_desc	The taxon name on the determination	Раннее название на момент определения	Раннее название на момент идентификации
OtherOldTaxonName_desc	Another taxon name having the same preferred taxon name	Другое раннее название, имеющее такое же принятное название	Другое раннее название, имеющее такое же принятное название
GeoCategory_desc	Category of the geography	Категория географии	Категория географии
LocationName_desc	The location of the object	Размещение объекта	Размещение объекта
Name_desc	The name of the object	Название объекта	Название объекта
StorageName_desc	Storage name	Название места хранения	Название места хранения
			
####################			
# Express Search Titles			
####################			
CollObjToDeterminer	Taxon CollectionObject	Таксон объекта коллекции	Таксон Объект Коллекции
CollObToLocality	Collecting Event Locality	Местонахождение	Местонахождение Событие Сбора
CollObject	Collection Object Taxon	Объект коллекции	Объект Коллекции Таксон
GeoToTaxon	Taxon Geography	География таксона	Таксон География
ColObjCollectors	Collection Object Collectors	Коллекторы	Объект Коллекции Коллекторы
AcceptedTaxon	Taxon Preferred Taxon	Принятый таксон	Таксон Притяный Таксон
SynonymCollObjs	Collection Object Preferred Taxon	Принятый таксон объекта коллекции	Объект Коллекции Принятый Таксон
#AcceptedNameCollObjs=Accepted Name for Collection Object			
OtherSynsCollObjs	Collection Object Taxon (all synonyms)	Таксон объекта коллекции (все синонимы)	Объект Коллекции Таксон (все синонимы)
CurrCollObject	Collection Object Taxon (determined)	Таксон объекта коллекции (определенный)	Объект Коллекции Таксон (идентифицирован)
AgentFromAgentVariant	Agent Agent Variant	Вариант агента	Агент Вариант Агента
Agent	Agent	Агент	Агент
AgentVariant	Agent Variant	Вариант агента	Вариант агента
LocalityAlias	Locality Locality Alias	Другое название местонахождения	Местонахождение Другое название местонахождения
CEToCO	Collection Object Collecting Event	Событие сбора объекта коллекции	Объект Коллекции Событие Сбора
LocToCO	Collection Object Locality	Местонахождение объекта коллекции	Объект Коллекции Локалитет
Acc2ATT	Accession Attachments	Приложения к поступлению	Приложения Поступления
Agt2ATT	Agent Attachments	Приложения к агенту	Приложения Агента
Co2ATT	Collection Attachments	Приложения к коллекции	Приложения Коллекции
CoEv2ATT	Collecting Event Attachments	Приложения к событию сбора	Приложения События Сбора
ConD2ATT	Conservator Description Attachments	Приложения к описанию консервации	Приложения Описаня Консервации
ConE2ATT	Conservator Event Attachments	Приложения к событию консервации	Приложения События Консервации
DNA2ATT	DNA Sequence Attachments	Приложения к ДНК сиквенсу	Приложения к ДНК сиквенсу
Fbk2ATT	Field Notebook Attachments	Приложения к полевым записям	Приложения к Полевым записям
FbkPG2ATT	Field Notebook Page Attachments	Приложения к странице полевых записей	Приложения к Странице Полевых записей
FbkPGS2ATT	Field Notebook Page Set Attachments	Приложения к серии полевых записей	Приложения к Серии Полевых записей
Loc2ATT	Locality Attachments	Приложения к местонахождению	Приложения к Местонахождению
Per2ATT	Permit Attachments	Приложения к разрешению	Приложения к Разрешению
Prep2ATT	Preparation Attachments	Приложения к препаратам	Приложения к Препаратам
Rep2ATT	Repository Agreement Attachments	Приложения к соглашению	Приложения к Соглашению
Tax2ATT	Taxon Attachments	Приложения к таксону	Приложения к Таксону
AccessionToCO	Collection Object Accession	Поступление объекта коллекции	Объект Коллекции Поступление
AccessionToAgent	Agent Accession	Поступление агента	Агент Поступление
BorrowToAgent	Agent Borrow	Кто дал в заем	Агент Поступление
AppraisalToAgent	Agent Appraisal	Оценка	Аген Оценка
GeoTimePeriodToCO	Collection Object Chronostratigraphy	Хроностратиграфия объекта коллекции	Объект Коллекции Хроностратиграфия
CollEventToCollectors	Collector CollectingEvent	Коллекторы события сбора	Коллекторы Событие Сбора
CollTripCollEvent	Collecting Event Collecting Trip	Экспедиция события сбора	Событие Сбора Экспедиция
AgentExchangeIn	Exchange In Agent	Персона обмена внутрь	Внешний обмен Агент
AgentExchangeOut	Exchange Out Agent	Персона обмена вне	Внутренний обмен Агент
GeographyCE	Collecting Event Geography	География события сбора	Событие Сбора География
GeographyCO	Collection Object Geography	География объекта коллекции	Объект Коллекции География
GiftCO	Collection Object Gift	Дар объекта коллекции	Объект Коллекции Дар
