Field Name	en	ru	ru_FilippovaN
			
URL	Web Service URL	URL веб-службы	URL веб-службы
MASTER_TITLE	Master Username/Password	Имя пользователя / Пароль Мастера	Имя пользователя/Пароль мастер пользователя
ENCRYPTED_USRPWD	Encrypted Username/Password	Зашифрованное имя пользователя / пароль	Зашифрованное Имя пользователя/Пароль
CREATE_KEY	Generate Master...	Генерировать Мастера Ключ...	Генерировать Мастер-Ключ...
CREATE_FILE	Create File...	Создать файл...	Создать файл...
IS_NET_BASED	Encryption key obtained from a Web Service	Ключ шифрования, полученный из веб-службы	Ключ шифрования, полученный из веб-службы
IS_ENCRYPTED_KEY	Encryption key stored in local preferences	Ключ шифрования который хранится в локальных настройках	Ключ шифрования, хранящийся в локальных настройках
CONT	Continue	Продолжить	Продолжить
BACK	Go Back	Назад	Назад
OK	OK	Ок	Ок
CANCEL	Cancel	Отмена	Отмена
HELP	Help	Помогите!	Справка
			
CPY_TO_CB_TT	Copy Key to Clipboard	Копировать ключ в буфер обмена	Копировать ключ в буфер обмена
CPY_FROM_CB_TT	Paste key from Clipboard	Вставить ключ из буфера обмена	Вставить ключ из буфера обмена
			
MASTER_LOC	Master Source	Источник Мастер ключа	Источник Мастер-Ключа
MASTER_SEP	Master Username and Password	Имя пользователя / Пароль Мастера	Имя/Пароль Мастер пользователя
USER_SEP	User's Username and Password	Имя пользователя и пароль	Имя пользователя и пароль
USERNAME	Username	Имя пользователя	Имя пользователя
PASSWORD	Password	Пароль	Пароль
MASTER_NO_ROOT	You cannot use 'root' as your Master username.	Вы не можете использовать 'root' в качестве своего основного имени пользователя.	Вы не можете использовать 'root' в качестве имени Мастер пользователя.
			
			
MISSING_CREDS	The username '%s' is missing the necessary credentials.\nWould you like to create them?	В пользователя `%s` отсутствуют необходимые учетные данные. \nХотите их создать?	Имя Пользователя `%s` не имеет необходимых прав. \nХотите их создать?
MISSING_CREDS_TITLE	Missing Credentials	Недостающие учетные данные	Недостающие права
			
ENCRYPTION_KEY	Encryption Key	Ключ шифрования	Ключ шифрования
GENERATE_KEY	Generate	Генерировать	Генерировать
MASTER_INFO_TITLE	Enter Master Information	Введите информацию мастера	Введите Мастер-информацию
SHOW_PASSWORD	Show Passwords	Показать пароли	Показать пароли
HIDE_PASSWORD	Hide Passwords	Скрыть пароли	Скрыть пароли
			
FILE_NOT_CREATED	The Master Key file could not be created at `%s`	Файл мастер-ключа не может быть создан в `%s`	Файл мастер-ключа не может быть создан в `%s`
FILE_CREATED_AT	The Master Key file was created at `%s`	Файл мастер-ключа был создан в `%s`	Файл мастер-ключа был создан в `%s`
			
########################			
# Change Password			
########################			
PWD_ERR_SAVE	There was an error saving the password to your user record.	При сохранении пароля в вашей записи пользователя произошла ошибка.	При сохранении пароля в записи пользователя произошла ошибка.
PWD_ERR_RTRV	Your password was not correct.	Ваш пароль есть неверным.	Пароль неверен.
PWD_ERR_BAD	Your password was not correct.	Ваш пароль есть неверным.	Пароль неверен.
PWD_ERR_NOTSAME	Your new password didn't match the 'verify' password.	Ваш новый пароль не соответствует паролю для подтверждения.	Новые пароль не соответствует верифицируемому.
PWD_ERR_LEN	The password must have at least %d characters and numbers.	Пароль должен содержать не менее %d символов и цифр.	Пароль должен содержать не менее %d символов и цифр.
CHG_PWD_TITLE	Change Password	Изменить пароль	Изменить пароль
