Field Name	en	ru

false	No	Нет
true	Yes	Да
SAVE	Save	Сохранить
EXIT	Exit	Выход
Name	Name	Имя
Value	Value	Значение

MAIN_TITLE	Configuring a Database	Конфигурирование базы данных

DEL_CUR_DB	If you continue it will delete the current database named '%s'.	Это действие удалит текущую базу данных с именем  '%s'.
DEL_CUR_DB_TITLE	Database Exists	База данных существует
PROCEED	Proceed	Продолжить
CANCEL	Cancel	Отмена
BLD_DONE	The Specify database build process %s	Построение базы данных Specify %s
BLD_OK	completed with no errors.	Завершено без ошибок.
BLD_NOTOK	did not complete correctly.	Завершено с ошибками.
ERROR_LOGIN_GEODB	There was an error logging into the DBMS with privileges to create the 'geonames' database.	Произошла ошибка при входе в СУБД с правами доступа для создания базы данных 'geonames'.
ERROR_CRE_GEODB	There was an error creating the 'geonames' database.	Произошла ошибка при создании базы данных 'geonames'.

COMPLETE	Complete	Завершено
YES	Yes	Да
HELP	Help	Справка
NEXT	Next	Далее
BACK	Back	Назад
NONE	None	Ничего
DONE	Done	Готово
FINISHED	Build Database	Построить базу данных
FINISHED_DIV	Build Division	Построить Подразделение
FINISHED_DISP	Build Discipline	Построить Дисциплину
FINISHED_COL	Build Collection	Построить Коллекцию

SELECTALL	Select All	Выбрать все
DeselectAll	Deselect All	Убрать все выделения
CREATE	Create	Создать

SURE_QUIT	Are you sure you want to quit the Wizard?	Вы уверены, что хотите выйти из Wizard?
QUIT	Quit	Выход

ERR_BAD_DBNAME	The database name cannot start with a number.	Имя базы данных не может начинаться с цифры.
ERR_BAD_USRNAME	The username cannot start with a number.	Имя пользователя не может начинаться с цифры.
ERR_NO_ROOT_EMBEDDED	root' cannot be used as the IT username for EZDB.	'root' не может использоваться в качестве IT-имени пользователя для EZDB

# Panels
ENTER_INST_INFO	Enter Institution Information	Введите информацию об учреждении
NAME	Name	Название
TITLE	Title	Заглавие
ABBREV	Code	Код

IT_USERNAME	IT Username	IT Имя пользователя
IT_PASSWORD	IT Password	IT Пароль

SECURITY_INFO	<html>If you are installing Specify 6 on a networked computer<br> or will have more than a single user you should turn security on.<br><br>You may turn security on later if you wish.	<html>Если вы устанавливаете Specify 6 на сетевом компьютере<br>или у вас будет более одного пользователя, вам следует включить Безопасность.<br><br>Вы можете также включить защиту позже.
SECURITY_ON	Turn Security On	Включить безопасность

DISP_NAME	Name	Имя

ENTER_ACC_INFO	<html>Accessions can be managed within a Division or globally for the entire Institution.<br>Will the Accessions be managed globally?	<html>Менеджмент поступлений может быть реализован в рамках подразделения или глобально для всего учреждения.<br>Управлять поступлениями глобально?
ACCGLOBALLY	Manage Globally	Управлять глобально

ENTER_DB_INFO	Fill in the following information for the database	Заполните следующую информацию для базы данных
ENTER_DIV_INFO	Enter Division Information	Введите информацию о подразделении
ENTER_COLMGR_INFO	Enter Collection Manager Information	Введите информацию о менеджере коллекции
DISP_INFO	Enter the Discipline Type and Name	Введите тип и название дисциплины

ENTER_COL_INFO	Enter Collection Information	Введите информацию о коллекции
PREFIX	Code	Код

# Advanced controls for DB Panel
ADV_TITLE	Advanced	Расширенные настройки
ADV_DB_OK	Login test was successful.	Проверка входа прошла успешно.
ADV_DB_ERR	Login test was NOT successful.	Проверка входа не была успешной.
ADV_DB_DESC	Use this if you manually created the database.	Воспользуйтесь, если база данных создана вручную.
ADV_MU_DESC	Use this if you manually created the Master user.	Воспользуйтесь, если Мастер-пользователь создан вручную.
ADV_DB_TEST	Test IT Login	Проверка IT-логина
ADV_MU_TEST	Test Master Login	Проверка Мастер-логина

MySQLDBMSUserMgr.NoPermissions	No Permissions	Нет прав
MySQLDBMSUserMgr.AllPermissions	All Permissions	Все права
MySQLDBMSUserMgr.AllBasicPermissions	All Basic Permissions	Все основные права
MySQLDBMSUserMgr.UnknownPermission	Unknown Permission	Незвестное право

DIRECTION	Full Name Order	Порядок полного имени
REVERSE	Reverse	Обратный
FORWARD	Forward	Прямой
CONFIG_TREEDEF	Configure the %s Tree	Настройте дерево %s
INCLUDED	Include	Включить
LEVEL	Level	Уровень
ISREQ	Is Required	Обязательный
ISENFORCED	Is Enforced	Необходимый
ISFULLNAME	Is in Full Name	В полном названии
SEPARATOR	Separator	Разделитель
EXAMPLE	Full Name Example	Пример полного имени
NO_CHANGE_REQ	You cannot change the `Is Enforced` value for a required field.	Вы не можете изменить значение `Необходимый` для обязательного поля.
NO_CHANGE_INCL	You cannot change the `Include` value for a required field.	Вы не можете изменить значение `Включить` для обязательного поля.
NO_CHANGE_INFN	The field must be included to set the `Is In Full Name` field.	Для добавления 'В полном названии' поле должно быть включено

FIRSTNAME	First Name	Имя
LASTNAME	Last Name	Фамилия
MIDNAME	Middle Initial	Отчество
USERLOGININFO	User Login Info	Информация для входа в систему
USERNAME	Username	Имя пользователя
