Field Name	en	ru
####################
# Fields
####################
TaxonName	Taxon Name	Название таксона
Geography	Geography	География
Determiner	Determiner	Определил
Collectors	Collectors	Коллекторы
OldTaxonName	Old Name	Прошлое название
AcceptedTaxonName	Preferred Name	Принятое название
DeterminationName	Determination Name	Название в момент идентификации
OldTaxonOnDeter	Name on Determination	Прошлое название в момент идентификации
OtherOldTaxonName	Other Name	Другие названия
GeoCategory	Category	Категория географии
StorageName	Storage	Место хранения
Name	Name	Название

####################
# Fields  Description
####################
TaxonName_desc	The taxon Name	Название таксона
Geography_desc	The geography name	Название географии
Determiner_desc	The person who determined it	Определил
Collectors_desc	The list of collectors	Список коллекторов
OldTaxonName_desc	The old taxon name	Прошлое название таксона
AcceptedTaxonName_desc	The preferred taxon name	Принятое название таксона
DeterminationName_desc	The determination name	Название на момент идентификации
OldTaxonOnDeter_desc	The taxon name on the determination	Прошлое название на момент идентификации
OtherOldTaxonName_desc	Another taxon name having the same preferred taxon name	Другое прошлое название, имеющее такое же принятное название
GeoCategory_desc	Category of the geography	Категория географии
LocationName_desc	The location of the object	Размещение объекта
Name_desc	The name of the object	Название объекта
StorageName_desc	Storage name	Название места хранения

####################
# Express Search Titles
####################
CollObjToDeterminer	Taxon CollectionObject	Таксон Объект коллекции
CollObToLocality	Collecting Event Locality	Местонахождение Событие сбора
CollObject	Collection Object Taxon	Объект коллекции Таксон
GeoToTaxon	Taxon Geography	Таксон География
ColObjCollectors	Collection Object Collectors	Объект коллекции Коллекторы
AcceptedTaxon	Taxon Preferred Taxon	Таксон Принятый таксон
SynonymCollObjs	Collection Object Preferred Taxon	Объект коллекции Принятый таксон
#AcceptedNameCollObjs=Accepted Name for Collection Object
OtherSynsCollObjs	Collection Object Taxon (all synonyms)	Объект коллекции Таксон (все синонимы)
CurrCollObject	Collection Object Taxon (determined)	Объект коллекции Таксон (идентифицирован)
AgentFromAgentVariant	Agent Agent Variant	Агент Вариант агента
Agent	Agent	Агент
AgentVariant	Agent Variant	Вариант агента
LocalityAlias	Locality Locality Alias	Местонахождение Другое название местонахождения
CEToCO	Collection Object Collecting Event	Объект коллекции Событие сбора
LocToCO	Collection Object Locality	Объект коллекции Местонахождения
Acc2ATT	Accession Attachments	Приложения к Поступлению
Agt2ATT	Agent Attachments	Приложения к Агенту
Co2ATT	Collection Attachments	Приложения к Коллекции
CoEv2ATT	Collecting Event Attachments	Приложения к Событию Сбора
ConD2ATT	Conservator Description Attachments	Приложения к Описанию консервации
ConE2ATT	Conservator Event Attachments	Приложения к Событию консервации
DNA2ATT	DNA Sequence Attachments	Приложения к ДНК сиквенсу
Fbk2ATT	Field Notebook Attachments	Приложения к Полевым записям
FbkPG2ATT	Field Notebook Page Attachments	Приложения к Странице полевых записей
FbkPGS2ATT	Field Notebook Page Set Attachments	Приложения к Серии полевых записей
Loc2ATT	Locality Attachments	Приложения к Местонахождению
Per2ATT	Permit Attachments	Приложения к Разрешению
Prep2ATT	Preparation Attachments	Приложения к Препаратам
Rep2ATT	Repository Agreement Attachments	Приложения к Соглашению
Tax2ATT	Taxon Attachments	Приложения к Таксону
AccessionToCO	Collection Object Accession	Объект коллекции Поступление
AccessionToAgent	Agent Accession	Агент Поступление
BorrowToAgent	Agent Borrow	Агент Отдавать в заем
AppraisalToAgent	Agent Appraisal	Аген Оценка
GeoTimePeriodToCO	Collection Object Chronostratigraphy	Объект коллекции Хроностратиграфия
CollEventToCollectors	Collector CollectingEvent	Коллекторы Событие сбора
CollTripCollEvent	Collecting Event Collecting Trip	Событие сбора Экспедиция
AgentExchangeIn	Exchange In Agent	Внешний обмен Агент
AgentExchangeOut	Exchange Out Agent	Внутренний обмен Агент
GeographyCE	Collecting Event Geography	Событие сбора География
GeographyCO	Collection Object Geography	Объект коллекции География
GiftCO	Collection Object Gift	Объект коллекции Дар
GiftAgent	Agent Gift	Агент Дар
LoanCO	Collection Object Loan	Объект коллекции Заем
LoanAgent	Agent Loan	Агент Заем
LithoStratToCO	Collection Object Lithostratigraphy	Объект коллекции Литостратиграфия
PermitToCO	Collection Object Permit	Объект коллекции Разрешение
PermitIssuedToAgent	Agent Issued to Permit	Агент выдавший Разрешение
PermitIssuedByAgent	Agent Issued by Permit	Агент получивший Разрешение
ProjectCO	Collection Object Project	Проект Объекта коллекции
ProjectAgent	Agent Project	Проект Агента
RepoAgreeAgent	Agent Repository Agreement	Агент Соглашение о хранении
StorageCO	Collection Object Storage	Объект коллекции Хранение
TaxCollObject	Collection Object Taxon	Объект коллекции Таксон
ColObjToContainer	Collection Object Container	Объект коллекции Контейнер
ContainerToKids	Container Collection Object Children	Контейнер Объект коллекции Дочерние элементы
ContainerToContainerKids	Container Container Children	Контейнер Дочерние элементы
ExchangeInCO	Collection Object Exchange In	Объект коллекции Внутренний обмен
ExchangeOutCO	Collection Object Exchange Out	Объект коллекции Внешний обмен

####################
# Express Search Description
####################
CollObjToDeterminer_desc	Collection Objects with Determiner and Taxon for current Determinations	Объект коллекции с Автором идентификации и Таксон для текущей идентификации
CollObToLocality_desc	Collecting Events with Localities	Событие сбора с местонахождениями
